"title","tomatometer","audience_score","sentiment","num_reviews","url"
"City Hall | Rotten Tomatoes","60%","38%","0.9558448195457458","4","https://www.rottentomatoes.com/m/city_hall"
"The Empty Man | Rotten Tomatoes","73%","61%","-0.19983429908752443","5","https://www.rottentomatoes.com/m/the_empty_man"
"Reboot Camp | Rotten Tomatoes","N/A","94%","N/A","0","https://www.rottentomatoes.com/m/reboot_camp"
"Borat Subsequent Moviefilm | Rotten Tomatoes","85%","62%","0.1841971054673195","20","https://www.rottentomatoes.com/m/borat_subsequent_moviefilm"
"Friendsgiving | Rotten Tomatoes","19%","23%","6.249547004699707e-05","4","https://www.rottentomatoes.com/m/friendsgiving"
"Children of the Corn | Rotten Tomatoes","11%","38%","-0.8738928027451038","9","https://www.rottentomatoes.com/m/children_of_the_corn"
"Synchronic | Rotten Tomatoes","79%","76%","0.3623307744661967","20","https://www.rottentomatoes.com/m/synchronic"
"Embryo | Rotten Tomatoes","N/A","18%","N/A","0","https://www.rottentomatoes.com/m/embryo"
"Skylines | Rotten Tomatoes","54%","23%","0.3340309460957845","3","https://www.rottentomatoes.com/m/skylines"
"Holidate | Rotten Tomatoes","45%","54%","-0.5827463169892629","17","https://www.rottentomatoes.com/m/holidate"
"The Craft: Legacy | Rotten Tomatoes","47%","24%","-0.06868938604990642","20","https://www.rottentomatoes.com/m/the_craft_legacy"
"Come Play | Rotten Tomatoes","57%","67%","-0.10939486076434453","20","https://www.rottentomatoes.com/m/come_play"
"Voices | Rotten Tomatoes","N/A","31%","N/A","0","https://www.rottentomatoes.com/m/voices"
"Orca | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/orca"
"The Lift | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_lift"
"U-Turn | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/u_turn"
"Sweet Taste of Souls | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/sweet_taste_of_souls"
"The Pit | Rotten Tomatoes","N/A","38%","N/A","0","https://www.rottentomatoes.com/m/the_pit"
"Let Him Go | Rotten Tomatoes","85%","76%","0.6444081117709478","20","https://www.rottentomatoes.com/m/let_him_go"
"Jingle Jangle: A Christmas Journey | Rotten Tomatoes","91%","69%","0.742580401400725","20","https://www.rottentomatoes.com/m/jingle_jangle_a_christmas_journey"
"Jungleland | Rotten Tomatoes","75%","47%","0.33495189001162845","20","https://www.rottentomatoes.com/m/jungleland"
"Hillbilly Elegy | Rotten Tomatoes","24%","81%","-0.5742997725804647","20","https://www.rottentomatoes.com/m/hillbilly_elegy"
"Freaky | Rotten Tomatoes","84%","80%","0.17136440177758536","20","https://www.rottentomatoes.com/m/freaky"
"Chick Fight | Rotten Tomatoes","38%","20%","-0.33313562472661334","6","https://www.rottentomatoes.com/m/chick_fight"
"Mank | Rotten Tomatoes","83%","63%","0.41778851797183353","20","https://www.rottentomatoes.com/m/mank"
"The Princess Switch: Switched Again | Rotten Tomatoes","56%","36%","0.882581815123558","4","https://www.rottentomatoes.com/m/the_princess_switch_switched_again"
"Sound of Metal | Rotten Tomatoes","97%","90%","0.9259427636861801","20","https://www.rottentomatoes.com/m/sound_of_metal"
"The Europeans | Rotten Tomatoes","84%","38%","0.9975527375936508","4","https://www.rottentomatoes.com/m/the_europeans"
"The Europeans | Rotten Tomatoes","84%","38%","0.589680300404628","14","https://www.rottentomatoes.com/m/europeans"
"Jiu Jitsu | Rotten Tomatoes","27%","64%","-0.41270144656300545","11","https://www.rottentomatoes.com/m/jiu_jitsu"
"The Conversation | Rotten Tomatoes","94%","89%","0.5754700899124146","20","https://www.rottentomatoes.com/m/the_conversation"
"The Conversation | Rotten Tomatoes","94%","89%","0.47205690294504166","20","https://www.rottentomatoes.com/m/conversation"
"Playing God | Rotten Tomatoes","16%","33%","0.4992478936910629","4","https://www.rottentomatoes.com/m/playing_god"
"Uncle Frank | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/uncle_frank"
"The Croods: A New Age | Rotten Tomatoes","76%","94%","0.3318349023660024","20","https://www.rottentomatoes.com/m/the_croods_a_new_age"
"Ma Rainey's Black Bottom | Rotten Tomatoes","97%","72%","0.32873651882012683","20","https://www.rottentomatoes.com/m/ma_raineys_black_bottom"
"Folklore: The Long Pond Studio Sessions | Rotten Tomatoes","100%","94%","0.9993233680725098","5","https://www.rottentomatoes.com/m/folklore_the_long_pond_studio_sessions"
"I Met a Girl | Rotten Tomatoes","N/A","64%","N/A","0","https://www.rottentomatoes.com/m/i_met_a_girl"
"Happiest Season | Rotten Tomatoes","82%","72%","0.4171336094538371","20","https://www.rottentomatoes.com/m/happiest_season"
"Archenemy | Rotten Tomatoes","76%","46%","-0.15430899177278792","7","https://www.rottentomatoes.com/m/archenemy"
"Intersection | Rotten Tomatoes","10%","39%","-0.3690634071826935","10","https://www.rottentomatoes.com/m/intersection"
"Romantic Comedy | Rotten Tomatoes","94%","38%","0.0031580179929733276","4","https://www.rottentomatoes.com/m/romantic_comedy"
"Monster Hunter | Rotten Tomatoes","44%","70%","0.011407905154758027","19","https://www.rottentomatoes.com/m/monster_hunter"
"Godmothered | Rotten Tomatoes","68%","57%","0.2389650916059812","11","https://www.rottentomatoes.com/m/godmothered"
"Wander | Rotten Tomatoes","32%","30%","-0.3331936001777649","3","https://www.rottentomatoes.com/m/wander"
"Black Bear | Rotten Tomatoes","89%","65%","0.3360625406106313","20","https://www.rottentomatoes.com/m/black_bear"
"The Midnight Sky | Rotten Tomatoes","49%","26%","-0.4027735690275828","20","https://www.rottentomatoes.com/m/the_midnight_sky"
"Let Them All Talk | Rotten Tomatoes","87%","49%","0.1714935377240181","20","https://www.rottentomatoes.com/m/let_them_all_talk"
"Wander Darkly | Rotten Tomatoes","75%","65%","0.3338113451997439","20","https://www.rottentomatoes.com/m/wander_darkly"
"Superintelligence | Rotten Tomatoes","30%","52%","-0.5010284806291262","17","https://www.rottentomatoes.com/m/superintelligence"
"Wild Mountain Thyme | Rotten Tomatoes","25%","53%","-0.3238562270998955","20","https://www.rottentomatoes.com/m/wild_mountain_thyme"
"Promising Young Woman | Rotten Tomatoes","90%","87%","0.5831246847907702","20","https://www.rottentomatoes.com/m/promising_young_woman"
"Wonder Woman 1984 | Rotten Tomatoes","57%","73%","0.1317888672153155","20","https://www.rottentomatoes.com/m/wonder_woman_1984"
"Breach | Rotten Tomatoes","83%","67%","0.30785050491491955","20","https://www.rottentomatoes.com/m/breach"
"Sky High | Rotten Tomatoes","N/A","45%","N/A","0","https://www.rottentomatoes.com/m/sky_high"
"The Glorias | Rotten Tomatoes","67%","83%","0.020193619032700855","20","https://www.rottentomatoes.com/m/the_glorias"
"The Rescue | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_rescue"
"The Rescue | Rotten Tomatoes","N/A","69%","N/A","0","https://www.rottentomatoes.com/m/rescue"
"Fatale | Rotten Tomatoes","46%","87%","0.35667096823453903","12","https://www.rottentomatoes.com/m/fatale"
"Critical Thinking | Rotten Tomatoes","97%","90%","0.6672625740369161","6","https://www.rottentomatoes.com/m/critical_thinking"
"Hunter Hunter | Rotten Tomatoes","94%","64%","0.4714413993060589","11","https://www.rottentomatoes.com/m/hunter_hunter"
"Bird | Rotten Tomatoes","81%","79%","0.9929603487253189","9","https://www.rottentomatoes.com/m/bird"
"ariana grande: excuse me, i love you | Rotten Tomatoes","50%","89%","0.016042381525039673","2","https://www.rottentomatoes.com/m/ariana_grande_excuse_me_i_love_you"
"We Can Be Heroes | Rotten Tomatoes","76%","40%","0.4349873885512352","20","https://www.rottentomatoes.com/m/we_can_be_heroes"
"News of the World | Rotten Tomatoes","88%","89%","0.6698652853568395","20","https://www.rottentomatoes.com/m/news_of_the_world"
"Pieces of a Woman | Rotten Tomatoes","76%","84%","0.5016492654879888","20","https://www.rottentomatoes.com/m/pieces_of_a_woman"
"Shadow in the Cloud | Rotten Tomatoes","77%","32%","0.4923297166824341","20","https://www.rottentomatoes.com/m/shadow_in_the_cloud"
"Dr. Bird's Advice for Sad Poets | Rotten Tomatoes","80%","75%","-4.744529724121094e-05","2","https://www.rottentomatoes.com/m/dr_birds_advice_for_sad_poets"
"The Power (1984) | Rotten Tomatoes","N/A","11%","-0.9981120824813843","1","https://www.rottentomatoes.com/m/power"
"Music | Rotten Tomatoes","7%","15%","-0.7111254061261812","20","https://www.rottentomatoes.com/m/music"
"Outside the Wire | Rotten Tomatoes","37%","53%","-0.6095864847302437","16","https://www.rottentomatoes.com/m/outside_the_wire"
"The Ultimate Playlist of Noise | Rotten Tomatoes","44%","66%","0.3322349389394124","3","https://www.rottentomatoes.com/m/the_ultimate_playlist_of_noise"
"The Marksman | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_marksman"
"The Marksman | Rotten Tomatoes","N/A","24%","N/A","0","https://www.rottentomatoes.com/m/marksman"
"Wish Dragon | Rotten Tomatoes","71%","77%","-0.00020937621593475342","4","https://www.rottentomatoes.com/m/wish_dragon"
"Affliction | Rotten Tomatoes","88%","72%","0.3326650857925415","3","https://www.rottentomatoes.com/m/affliction"
"Penguin Bloom | Rotten Tomatoes","66%","78%","0.5789599666992823","20","https://www.rottentomatoes.com/m/penguin_bloom"
"Born a Champion | Rotten Tomatoes","N/A","80%","-0.999332845211029","1","https://www.rottentomatoes.com/m/born_a_champion"
"Wrong Turn | Rotten Tomatoes","40%","54%","-0.6646117071310679","18","https://www.rottentomatoes.com/m/wrong_turn"
"The Little Things | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_little_things"
"Breaking News in Yuba County | Rotten Tomatoes","11%","46%","-0.20186452195048332","11","https://www.rottentomatoes.com/m/breaking_news_in_yuba_county"
"Palmer | Rotten Tomatoes","72%","87%","0.6212674404184023","20","https://www.rottentomatoes.com/m/palmer"
"Nomadland | Rotten Tomatoes","93%","82%","0.5008553142348925","20","https://www.rottentomatoes.com/m/nomadland"
"Malcolm & Marie | Rotten Tomatoes","57%","67%","-0.22856811434030533","20","https://www.rottentomatoes.com/m/malcolm_and_marie"
"Hunted | Rotten Tomatoes","N/A","64%","0.9998841285705566","1","https://www.rottentomatoes.com/m/the_hunted"
"Hunted | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/hunted"
"Son of the South | Rotten Tomatoes","59%","89%","0.4998905211687088","4","https://www.rottentomatoes.com/m/son_of_the_south"
"The Wanting Mare | Rotten Tomatoes","80%","33%","0.502798855304718","8","https://www.rottentomatoes.com/m/the_wanting_mare"
"Little Fish | Rotten Tomatoes","89%","57%","0.9767731949687004","10","https://www.rottentomatoes.com/m/little_fish"
"PVT Chat | Rotten Tomatoes","68%","43%","0.33961180845896405","6","https://www.rottentomatoes.com/m/pvt_chat"
"Payback | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/payback"
"Tom & Jerry | Rotten Tomatoes","29%","82%","-0.5648117711146673","20","https://www.rottentomatoes.com/m/tom_and_jerry"
"Visitor | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/visitor"
"Extinct | Rotten Tomatoes","43%","40%","-0.9992125034332275","1","https://www.rottentomatoes.com/m/extinct"
"Hi, Mom | Rotten Tomatoes","77%","54%","0.99545818567276","2","https://www.rottentomatoes.com/m/hi_mom"
"The Mauritanian | Rotten Tomatoes","75%","85%","0.33092596133550006","20","https://www.rottentomatoes.com/m/the_mauritanian"
"Willy's Wonderland | Rotten Tomatoes","60%","68%","-0.1492540568113327","13","https://www.rottentomatoes.com/m/willys_wonderland"
"To All the Boys: Always and Forever | Rotten Tomatoes","79%","58%","0.5766682003935178","20","https://www.rottentomatoes.com/m/to_all_the_boys_always_and_forever"
"Fear of Rain | Rotten Tomatoes","50%","59%","0.4985862821340561","4","https://www.rottentomatoes.com/m/fear_of_rain"
"Minari | Rotten Tomatoes","98%","92%","0.9045894121130308","20","https://www.rottentomatoes.com/m/minari"
"The Map of Tiny Perfect Things | Rotten Tomatoes","78%","73%","0.4973125338554382","13","https://www.rottentomatoes.com/m/the_map_of_tiny_perfect_things"
"The World to Come | Rotten Tomatoes","74%","64%","0.7339163447419802","20","https://www.rottentomatoes.com/m/the_world_to_come"
"French Exit | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/french_exit"
"Judas and the Black Messiah | Rotten Tomatoes","96%","95%","0.608203132947286","20","https://www.rottentomatoes.com/m/judas_and_the_black_messiah"
"Tentacles | Rotten Tomatoes","0%","10%","N/A","0","https://www.rottentomatoes.com/m/tentacles"
"I Care a Lot | Rotten Tomatoes","79%","36%","0.2381224607427915","20","https://www.rottentomatoes.com/m/i_care_a_lot"
"Boss Level | Rotten Tomatoes","74%","77%","-0.24034911559687722","19","https://www.rottentomatoes.com/m/boss_level"
"The Killing of Two Lovers | Rotten Tomatoes","93%","68%","0.8239125236868858","20","https://www.rottentomatoes.com/m/the_killing_of_two_lovers"
"Chaos Walking | Rotten Tomatoes","21%","71%","-0.5043498997886976","20","https://www.rottentomatoes.com/m/chaos_walking"
"Crisis | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/crisis"
"Billie Eilish: The World's a Little Blurry | Rotten Tomatoes","96%","95%","0.50539414336284","20","https://www.rottentomatoes.com/m/billie_eilish_the_worlds_a_little_blurry"
"Raya and the Last Dragon | Rotten Tomatoes","93%","97%","0.25828788181145984","20","https://www.rottentomatoes.com/m/raya_and_the_last_dragon"
"Moxie | Rotten Tomatoes","70%","68%","0.32215654104948044","20","https://www.rottentomatoes.com/m/moxie"
"Coming 2 America | Rotten Tomatoes","49%","37%","0.26698116213083267","20","https://www.rottentomatoes.com/m/coming_2_america"
"Power Play | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/power_play"
"Bats | Rotten Tomatoes","19%","15%","-0.43550317361950874","12","https://www.rottentomatoes.com/m/bats"
"Yes Day | Rotten Tomatoes","52%","55%","0.3347183366616567","18","https://www.rottentomatoes.com/m/yes_day"
"The Ex | Rotten Tomatoes","18%","32%","-0.8222699041167895","20","https://www.rottentomatoes.com/m/the_ex"
"Cosmic Sin | Rotten Tomatoes","6%","54%","-0.00951036810874939","6","https://www.rottentomatoes.com/m/cosmic_sin"
"Zack Snyder's Justice League | Rotten Tomatoes","71%","92%","0.012054356435934702","20","https://www.rottentomatoes.com/m/zack_snyders_justice_league"
"Happily | Rotten Tomatoes","71%","26%","-0.00015175342559814453","8","https://www.rottentomatoes.com/m/happily"
"Under the Volcano | Rotten Tomatoes","74%","71%","0.1845049262046814","5","https://www.rottentomatoes.com/m/under_the_volcano"
"Ruby | Rotten Tomatoes","57%","10%","0.7046195864677429","1","https://www.rottentomatoes.com/m/ruby"
"Godzilla vs. Kong | Rotten Tomatoes","75%","91%","0.3469409222404162","20","https://www.rottentomatoes.com/m/godzilla_vs_kong"
"Bad Trip | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/bad_trip"
"Peter Rabbit 2: The Runaway | Rotten Tomatoes","68%","89%","0.4922392815351486","20","https://www.rottentomatoes.com/m/peter_rabbit_2_the_runaway"
"North Hollywood | Rotten Tomatoes","78%","88%","0.9977778792381287","1","https://www.rottentomatoes.com/m/north_hollywood"
"Senior Moment | Rotten Tomatoes","26%","75%","-0.3106285532315572","6","https://www.rottentomatoes.com/m/senior_moment"
"The Seventh Day | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_seventh_day"
"Barb & Star Go to Vista Del Mar | Rotten Tomatoes","81%","60%","0.18551478534936905","20","https://www.rottentomatoes.com/m/barb_and_star_go_to_vista_del_mar"
"The Unholy | Rotten Tomatoes","25%","44%","-0.00951281189918518","2","https://www.rottentomatoes.com/m/the_unholy"
"The United States vs. Billie Holiday | Rotten Tomatoes","55%","79%","-0.07834629714488983","20","https://www.rottentomatoes.com/m/the_united_states_vs_billie_holiday"
"Every Breath You Take | Rotten Tomatoes","20%","89%","-0.6164313703775406","12","https://www.rottentomatoes.com/m/every_breath_you_take"
"The Girl Who Believes in Miracles | Rotten Tomatoes","40%","93%","N/A","0","https://www.rottentomatoes.com/m/the_girl_who_believes_in_miracles"
"The Believer | Rotten Tomatoes","82%","82%","0.6780673439304034","20","https://www.rottentomatoes.com/m/the_believer"
"The Believer | Rotten Tomatoes","82%","82%","0.11856368680795033","18","https://www.rottentomatoes.com/m/believer"
"Mandela | Rotten Tomatoes","N/A","82%","N/A","0","https://www.rottentomatoes.com/m/mandela"
"Dawn of the Beast | Rotten Tomatoes","N/A","42%","N/A","0","https://www.rottentomatoes.com/m/dawn_of_the_beast"
"Mortal Kombat | Rotten Tomatoes","44%","58%","0.06092274437348048","20","https://www.rottentomatoes.com/m/mortal_kombat"
"Voyagers (2021) | Rotten Tomatoes","25%","55%","-0.4329243277510007","20","https://www.rottentomatoes.com/m/voyagers"
"The Swarm | Rotten Tomatoes","9%","19%","-0.4984965920448303","4","https://www.rottentomatoes.com/m/the_swarm"
"The Swarm | Rotten Tomatoes","9%","19%","-0.3615407082769606","19","https://www.rottentomatoes.com/m/swarm"
"Thunder Force | Rotten Tomatoes","22%","23%","-0.31206559141476947","20","https://www.rottentomatoes.com/m/thunder_force"
"Vanquish | Rotten Tomatoes","5%","55%","-0.9566733899215858","14","https://www.rottentomatoes.com/m/vanquish"
"Arlo the Alligator Boy | Rotten Tomatoes","85%","84%","0.336636741956075","3","https://www.rottentomatoes.com/m/arlo_the_alligator_boy"
"In The Earth | Rotten Tomatoes","79%","24%","0.35854224612315494","20","https://www.rottentomatoes.com/m/in_the_earth"
"Monday | Rotten Tomatoes","N/A","86%","N/A","0","https://www.rottentomatoes.com/m/monday"
"Wrath of Man | Rotten Tomatoes","68%","90%","-0.32928479214509326","20","https://www.rottentomatoes.com/m/wrath_of_man"
"The Mitchells vs. the Machines | Rotten Tomatoes","97%","89%","0.6525099103649458","20","https://www.rottentomatoes.com/m/the_mitchells_vs_the_machines"
"We Broke Up | Rotten Tomatoes","59%","48%","0.035241844505071646","13","https://www.rottentomatoes.com/m/we_broke_up"
"Together Together | Rotten Tomatoes","90%","77%","0.9081280132134756","20","https://www.rottentomatoes.com/m/together_together"
"The Deep Ones | Rotten Tomatoes","N/A","24%","N/A","0","https://www.rottentomatoes.com/m/the_deep_ones"
"Tom Clancy's Without Remorse | Rotten Tomatoes","45%","42%","-0.12960732728242874","20","https://www.rottentomatoes.com/m/without_remorse"
"Things Heard & Seen | Rotten Tomatoes","39%","23%","-0.33346032351255417","20","https://www.rottentomatoes.com/m/things_heard_and_seen"
"The Resort | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_resort"
"The Guardian | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_guardian"
"The Guardian (2006) | Rotten Tomatoes","37%","80%","0.00036405275265375775","18","https://www.rottentomatoes.com/m/guardian"
"The Virtuoso | Rotten Tomatoes","19%","26%","-0.37363307550549507","10","https://www.rottentomatoes.com/m/the_virtuoso"
"Four Good Days | Rotten Tomatoes","54%","81%","-0.2784733408027225","19","https://www.rottentomatoes.com/m/four_good_days"
"Those Who Wish Me Dead | Rotten Tomatoes","63%","86%","0.3103599126140277","20","https://www.rottentomatoes.com/m/those_who_wish_me_dead"
"Mainstream | Rotten Tomatoes","42%","40%","-0.49540794640779495","12","https://www.rottentomatoes.com/m/mainstream"
"Here Today | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/here_today"
"Finding You | Rotten Tomatoes","53%","91%","0.2585412338376045","10","https://www.rottentomatoes.com/m/finding_you"
"The Woman in the Window | Rotten Tomatoes","83%","84%","0.3383127649625142","6","https://www.rottentomatoes.com/m/woman_in_the_window"
"Army of the Dead | Rotten Tomatoes","N/A","14%","N/A","0","https://www.rottentomatoes.com/m/army_of_the_dead"
"616 Wilford Lane | Rotten Tomatoes","N/A","17%","N/A","0","https://www.rottentomatoes.com/m/616_wilford_lane"
"Spirit Untamed | Rotten Tomatoes","48%","95%","0.22739977886279425","20","https://www.rottentomatoes.com/m/spirit_untamed"
"Blast Beat | Rotten Tomatoes","61%","69%","0.2017107129096985","5","https://www.rottentomatoes.com/m/blast_beat"
"Dream Horse | Rotten Tomatoes","88%","97%","0.7462130139271418","20","https://www.rottentomatoes.com/m/dream_horse"
"A Quiet Place Part II | Rotten Tomatoes","91%","92%","0.3968985403577487","20","https://www.rottentomatoes.com/m/a_quiet_place_part_ii"
"Aquarium of the Dead | Rotten Tomatoes","N/A","32%","N/A","0","https://www.rottentomatoes.com/m/aquarium_of_the_dead"
"The Conjuring: The Devil Made Me Do It | Rotten Tomatoes","56%","83%","-0.4967198893427849","20","https://www.rottentomatoes.com/m/the_conjuring_the_devil_made_me_do_it"
"Cruella | Rotten Tomatoes","75%","97%","0.251552939414978","20","https://www.rottentomatoes.com/m/cruella"
"Dutch | Rotten Tomatoes","17%","64%","-0.6669013698895773","6","https://www.rottentomatoes.com/m/dutch"
"Under the Stadium Lights | Rotten Tomatoes","11%","46%","-0.9907278716564178","6","https://www.rottentomatoes.com/m/under_the_stadium_lights"
"Gully | Rotten Tomatoes","25%","80%","-0.6598036785920461","6","https://www.rottentomatoes.com/m/gully"
"Grace and Grit | Rotten Tomatoes","N/A","88%","-0.0018045008182525635","2","https://www.rottentomatoes.com/m/grace_and_grit"
"Queen Bees | Rotten Tomatoes","55%","89%","0.5398710109293461","11","https://www.rottentomatoes.com/m/queen_bees"
"The House Next Door: Meet the Blacks 2 | Rotten Tomatoes","17%","50%","-0.9997976422309875","1","https://www.rottentomatoes.com/m/the_house_next_door_meet_the_blacks_2"
"Streetwise | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/streetwise"
"Fathom | Rotten Tomatoes","33%","41%","-0.9997768998146057","1","https://www.rottentomatoes.com/m/fathom"
"Rita Moreno: Just a Girl Who Decided to Go For It | Rotten Tomatoes","96%","93%","0.8327053810159365","20","https://www.rottentomatoes.com/m/rita_moreno_just_a_girl_who_decided_to_go_for_it"
"Love Spreads | Rotten Tomatoes","N/A","N/A%","-0.9985822439193726","1","https://www.rottentomatoes.com/m/love_spreads"
"12 Mighty Orphans | Rotten Tomatoes","62%","98%","0.13642299796144167","14","https://www.rottentomatoes.com/m/12_mighty_orphans"
"The Sparks Brothers | Rotten Tomatoes","95%","98%","0.8314332316319147","20","https://www.rottentomatoes.com/m/the_sparks_brothers"
"False Positive | Rotten Tomatoes","46%","20%","-0.2349271004398664","20","https://www.rottentomatoes.com/m/false_positive"
"Fatherhood | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/fatherhood"
"The Birthday Cake | Rotten Tomatoes","23%","90%","0.33277326822280884","3","https://www.rottentomatoes.com/m/the_birthday_cake"
"Good on Paper | Rotten Tomatoes","53%","38%","0.08369059786200522","13","https://www.rottentomatoes.com/m/good_on_paper"
"Lansky | Rotten Tomatoes","40%","24%","0.004619330167770386","2","https://www.rottentomatoes.com/m/lansky"
"No Sudden Move | Rotten Tomatoes","92%","58%","0.7503936116894087","20","https://www.rottentomatoes.com/m/no_sudden_move"
"The Ice Road | Rotten Tomatoes","43%","31%","-0.35039594769477844","20","https://www.rottentomatoes.com/m/the_ice_road"
"I Carry You With Me | Rotten Tomatoes","97%","85%","0.9333818306525549","20","https://www.rottentomatoes.com/m/i_carry_you_with_me"
"Salvador | Rotten Tomatoes","90%","85%","0.9994170169035593","6","https://www.rottentomatoes.com/m/salvador"
"Werewolves Within | Rotten Tomatoes","86%","80%","0.8202200854818026","18","https://www.rottentomatoes.com/m/werewolves_within"
"Mary J. Blige's My Life | Rotten Tomatoes","60%","40%","0.599707567691803","5","https://www.rottentomatoes.com/m/mary_j_bliges_my_life"
"America: The Motion Picture | Rotten Tomatoes","34%","42%","-0.2974726568375315","15","https://www.rottentomatoes.com/m/america_the_motion_picture"
"Zola | Rotten Tomatoes","88%","68%","0.9970980907479922","20","https://www.rottentomatoes.com/m/zola"
"The Forever Purge | Rotten Tomatoes","48%","78%","-0.23592761158943176","20","https://www.rottentomatoes.com/m/the_forever_purge"
"Escape Room: Tournament of Champions | Rotten Tomatoes","52%","75%","0.05182432809046337","15","https://www.rottentomatoes.com/m/escape_room_tournament_of_champions"
"Die in a Gunfight | Rotten Tomatoes","16%","61%","-0.9997107088565826","2","https://www.rottentomatoes.com/m/die_in_a_gunfight"
"The Boss Baby: Family Business | Rotten Tomatoes","46%","89%","0.2549339508016904","17","https://www.rottentomatoes.com/m/the_boss_baby_family_business"
"Summer of Soul (...Or, When the Revolution Could Not Be Televised) | Rotten Tomatoes","99%","98%","0.9987618178129196","20","https://www.rottentomatoes.com/m/summer_of_soul"
"Till Death | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/till_death"
"Let Us In | Rotten Tomatoes","22%","17%","0.9997758269309998","1","https://www.rottentomatoes.com/m/let_us_in"
"Annette | Rotten Tomatoes","72%","77%","0.348031222820282","20","https://www.rottentomatoes.com/m/annette"
"Black Widow | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/black_widow"
"Space Jam: A New Legacy | Rotten Tomatoes","25%","79%","-0.5617400283614794","20","https://www.rottentomatoes.com/m/space_jam_a_new_legacy"
"Gunpowder Milkshake | Rotten Tomatoes","60%","48%","-0.2723608190814654","20","https://www.rottentomatoes.com/m/gunpowder_milkshake"
"The Night House | Rotten Tomatoes","88%","69%","0.5555390765269598","20","https://www.rottentomatoes.com/m/the_night_house"
"Nine Days | Rotten Tomatoes","90%","73%","0.6025024602810541","20","https://www.rottentomatoes.com/m/nine_days"
"Jolt | Rotten Tomatoes","40%","39%","0.24454330652952194","18","https://www.rottentomatoes.com/m/jolt"
"King David | Rotten Tomatoes","8%","43%","-0.9495057761669159","4","https://www.rottentomatoes.com/m/king_david"
"Out of Death | Rotten Tomatoes","0%","43%","-0.9997832179069519","1","https://www.rottentomatoes.com/m/out_of_death"
"Roadrunner: A Film About Anthony Bourdain | Rotten Tomatoes","91%","94%","0.6638926640152931","20","https://www.rottentomatoes.com/m/roadrunner_a_film_about_anthony_bourdain"
"Deception (2021) | Rotten Tomatoes","53%","19%","0.10630194925599629","19","https://www.rottentomatoes.com/m/deception"
"Worth | Rotten Tomatoes","81%","75%","0.4212651550769806","20","https://www.rottentomatoes.com/m/worth"
"Trollhunters: Rise of the Titans | Rotten Tomatoes","88%","46%","N/A","0","https://www.rottentomatoes.com/m/trollhunters_rise_of_the_titans"
"Old | Rotten Tomatoes","50%","53%","-0.1490431403120359","20","https://www.rottentomatoes.com/m/old"
"Midnight in the Switchgrass | Rotten Tomatoes","8%","20%","-0.42222684621810913","7","https://www.rottentomatoes.com/m/midnight_in_the_switchgrass"
"Broken Diamonds | Rotten Tomatoes","54%","71%","-0.19344016313552856","5","https://www.rottentomatoes.com/m/broken_diamonds"
"Val | Rotten Tomatoes","93%","89%","0.8267876654863358","20","https://www.rottentomatoes.com/m/val"
"Ailey | Rotten Tomatoes","90%","88%","0.42402373751004535","20","https://www.rottentomatoes.com/m/ailey"
"The Suicide Squad | Rotten Tomatoes","90%","82%","0.036531890432039894","20","https://www.rottentomatoes.com/m/the_suicide_squad"
"Jungle Cruise | Rotten Tomatoes","62%","92%","-0.06792675703763962","20","https://www.rottentomatoes.com/m/jungle_cruise"
"The Green Knight | Rotten Tomatoes","89%","50%","0.6648096864422163","20","https://www.rottentomatoes.com/m/the_green_knight"
