"title","tomatometer","audience_score","sentiment","num_reviews","url"
"Judge | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/judge"
"Boy | Rotten Tomatoes","88%","86%","0.8356697104043431","19","https://www.rottentomatoes.com/m/boy"
"Greenberg | Rotten Tomatoes","76%","42%","0.24628569930791855","20","https://www.rottentomatoes.com/m/greenberg"
"Hot Tub Time Machine | Rotten Tomatoes","64%","56%","-0.08693354576826096","20","https://www.rottentomatoes.com/m/hot_tub_time_machine"
"Clash of the Titans | Rotten Tomatoes","63%","71%","-0.20012484788894652","5","https://www.rottentomatoes.com/m/clash_of_the_titans"
"Bluebeard | Rotten Tomatoes","N/A","64%","0.9811094999313354","1","https://www.rottentomatoes.com/m/bluebeard"
"Guy and Madeline on a Park Bench | Rotten Tomatoes","92%","49%","0.5930213232835134","20","https://www.rottentomatoes.com/m/guy_and_madeline_on_a_park_bench"
"The Last Song | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_last_song"
"The Last Song (1980) | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/last_song"
"Bones | Rotten Tomatoes","28%","39%","-0.41331821100579375","19","https://www.rottentomatoes.com/m/bones"
"Pixels | Rotten Tomatoes","18%","46%","-0.028724439442157745","20","https://www.rottentomatoes.com/m/pixels"
"Wrecked | Rotten Tomatoes","N/A","4%","N/A","0","https://www.rottentomatoes.com/m/wrecked"
"12th & Delaware | Rotten Tomatoes","N/A","88%","0.9998770952224731","1","https://www.rottentomatoes.com/m/12th_and_delaware"
"Off Limits | Rotten Tomatoes","45%","35%","-0.9994582533836365","1","https://www.rottentomatoes.com/m/off_limits"
"Date Night | Rotten Tomatoes","67%","55%","0.1561034843325615","20","https://www.rottentomatoes.com/m/date_night"
"Joy | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/joy"
"The Hunter | Rotten Tomatoes","78%","44%","0.5224199692408243","14","https://www.rottentomatoes.com/m/the_hunter"
"Honey | Rotten Tomatoes","19%","71%","-0.08272294203440349","20","https://www.rottentomatoes.com/m/honey"
"Prince | Rotten Tomatoes","70%","56%","0.5018787359197934","11","https://www.rottentomatoes.com/m/prince"
"Letters to God | Rotten Tomatoes","26%","75%","-0.1339377760887146","2","https://www.rottentomatoes.com/m/letters_to_god"
"The Black Waters of Echo's Pond | Rotten Tomatoes","22%","18%","-0.6664597690105438","17","https://www.rottentomatoes.com/m/the_black_waters_of_echos_pond"
"The Black Waters of Echo's Pond | Rotten Tomatoes","22%","18%","-0.3382021486759186","6","https://www.rottentomatoes.com/m/black_waters_of_echos_pond"
"Death at a Funeral | Rotten Tomatoes","63%","79%","-0.08284173160791397","20","https://www.rottentomatoes.com/m/death_at_a_funeral"
"The Joneses | Rotten Tomatoes","61%","46%","0.4168375755349795","20","https://www.rottentomatoes.com/m/joneses"
"Boogie Woogie | Rotten Tomatoes","32%","22%","-0.6342954933643341","10","https://www.rottentomatoes.com/m/boogie_woogie"
"Vampires | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/vampires"
"Pig (2010) | Rotten Tomatoes","N/A","N/A%","-0.9997336268424988","1","https://www.rottentomatoes.com/m/pig"
"The Raven | Rotten Tomatoes","N/A","41%","N/A","0","https://www.rottentomatoes.com/m/the_raven"
"Black and White | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/black_and_white"
"Behind the Burly Q | Rotten Tomatoes","77%","64%","0.12395681440830231","12","https://www.rottentomatoes.com/m/behind_the_burly_q"
"The Losers | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_losers"
"The Losers | Rotten Tomatoes","N/A","44%","N/A","0","https://www.rottentomatoes.com/m/losers"
"Iron Man 2 | Rotten Tomatoes","72%","71%","-0.07692624131838481","20","https://www.rottentomatoes.com/m/iron_man_2"
"Daddy Longlegs | Rotten Tomatoes","80%","51%","0.6675196290016174","18","https://www.rottentomatoes.com/m/daddy_longlegs"
"The Intruder | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_intruder"
"Please Give | Rotten Tomatoes","85%","64%","0.49586162053876454","19","https://www.rottentomatoes.com/m/please_give"
"A Nightmare on Elm Street | Rotten Tomatoes","94%","84%","0.4365084543824196","20","https://www.rottentomatoes.com/m/a_nightmare_on_elm_street"
"The Lighthouse | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_lighthouse"
"Rage | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/rage"
"The Trotsky | Rotten Tomatoes","79%","70%","0.23710199818015099","10","https://www.rottentomatoes.com/m/the_trotsky"
